source,target,weights
46,7,85
68,33,12.5
108,104,20
68,18,2.5
95,18,5
108,49,220
35,71,4.5
108,65,320
108,56,5.12
108,44,6.12
42,77,7.6
82,2,16
95,107,15
41,87,3.3
108,47,12
108,68,8
108,84,80.5
6,5,0.2
33,27,1.8
107,41,4
33,67,0.9
35,50,28.05
35,84,42.25
108,33,7
46,18,62.5
35,18,11.25
82,28,450
104,53,15
108,107,180
108,8,0.32
47,50,50.4
108,50,8
108,84,48
18,0,3.6
92,5,499
108,5,30
108,5,3.5
108,5,7.5
108,5,14
108,93,54
21,101,2
14,20,26.4
35,50,0.8
91,103,5.7
46,77,2.5
95,23,0.18
108,0,2
90,105,0.75
108,14,24
108,80,165
47,88,5.5
33,88,10
47,109,4
78,27,2.75
46,78,9
108,102,1.26
107,84,45
108,84,32.5
33,101,15
10,23,1.28
91,107,266
108,104,251.2
108,80,250
108,84,110
108,84,125
108,84,25
108,104,60
33,34,18
33,34,13
14,38,0.48
90,50,3.2
108,50,0.8
82,2,186
33,28,24
35,40,26.4
108,49,58
108,84,72.5
108,91,44.4
108,84,55
108,91,110
103,72,1.75
103,104,41
108,104,4
107,47,24
47,9,12.5
33,92,92
104,52,2.88
46,111,20
47,36,1.08
104,17,0.28
103,73,88
21,9,75
21,73,57.15
107,55,1.66
107,5,10
46,41,135
21,66,105
47,14,2.4
95,73,12
108,74,11
108,25,0.8
108,14,9.6
108,89,3
96,50,9.8
18,50,1.2
18,50,1.2
91,111,60
108,4,5.6
107,33,12
46,47,35
108,18,38.85
46,81,9
82,29,6.75
108,32,7.2
26,79,16
108,0,6.3
108,84,30
33,28,40
33,41,155
108,49,200
33,80,165
33,92,14.5
32,78,11.6
108,78,12
108,78,5.4
95,78,4.2
71,108,43.8
108,91,4
35,91,9.6
35,91,4
35,92,8
108,49,0.72
35,107,8
33,100,14.5
82,41,140
108,71,16.2
47,8,5
108,48,7.5
14,109,7.2
33,13,2.5
33,30,3
33,56,3.6
25,14,0.8
95,101,5
108,28,12
108,103,2.1
108,103,14
82,28,11.25
82,73,35.2
82,41,30
82,28,30
82,28,15
107,22,10.2
82,2,330
33,14,30
82,54,20.592
104,2,6.5
80,62,2.88
21,54,7
35,101,7.5
47,73,31.68
21,73,10
108,73,1.28
21,73,10
18,104,25
107,104,7.5
35,104,5
91,71,113
96,5,73.5
18,5,9
33,92,28
82,10,50
82,10,25
33,84,40
33,84,40
95,101,7.5
96,81,3.48
108,81,0.48
96,81,4.5
33,52,1.68
108,13,1.52
33,51,13
108,102,29
82,111,120
21,101,45
33,14,21
108,110,1.92
108,36,3.6
108,88,21
33,88,100
11,42,2.3
21,2,5.4
108,101,7
108,88,0.8
108,49,4
108,18,3.04
108,41,2.6
108,46,4
108,91,8
18,33,9
107,73,2
18,4,2.4
108,79,2
108,42,2.52
108,11,0.54
108,104,30
108,84,52.9
108,103,28.8
33,84,37.5
78,106,6
46,66,10.5
90,41,22
82,41,3
33,41,40
35,41,1.8
108,41,8.8
108,46,40
21,73,20
46,7,5.25
108,68,4
108,5,14
68,28,12.5
33,47,10
21,101,3
32,71,7
32,107,14
82,21,65
82,21,15
108,0,1.8
90,61,12
108,49,14
108,49,20
95,4,5
82,66,13.2
108,6,0.3
21,83,1
104,112,3.2
104,112,5.5
106,73,4.75
21,42,12
21,84,40
21,104,40
41,66,3
108,91,5.8
108,103,2
108,28,10.8
108,104,12.8
108,63,2.8
18,63,1.2
108,91,2.2
108,5,20
6,105,0.35
104,2,1.5
41,87,2.5
108,102,16
33,80,20
108,37,0.9
73,70,0.22
107,65,4
108,65,5.5
108,70,3.6
107,108,24
92,91,98
104,2,20
35,61,4.9
33,21,14
82,21,10
82,21,5
82,21,18
33,21,28
82,21,2.5
21,99,1.5
33,106,3
82,44,72.5
35,107,3.5
46,51,1.4
47,73,66
89,7,11.88
46,7,3
46,7,2.8
108,47,13.3
108,50,1.5
108,104,50
108,56,10
108,101,1
108,28,9
11,42,0.48
33,34,2.5
82,41,160
82,44,27
108,73,11
47,14,26.25
46,14,6
46,101,2
46,101,1
108,101,2.8
108,92,10
108,104,19.2
108,5,8
82,10,0.28
108,80,1
82,21,36
108,49,7.25
