"Country","Latitude","Longitude","military_expenditure","freedom_score"
"Mozambique",-25.96528,32.58917,11.3278520648178,53
"Myanmar",19.745,96.12972,58.859677260048,32
"Namibia",-22.55941,17.08323,21.3981819616025,77
"Nepal",27.70169,85.3206,20.1172865848972,52
"Netherlands",52.37403,4.88969,97.8809761813617,99
"Netherlands",52.0767,4.2986,97.8809761813617,99
"New Zealand",-41.28664,174.77557,48.2509756698932,98
"Nicaragua",12.13282,-86.2504,9.31264972170726,47
"Niger",13.51366,2.1098,14.1486370357843,49
"Nigeria",9.05735,7.48976,40.264353669259,50
"Norway",59.91273,10.74609,80.40989001556,100
"Oman",23.61387,58.5922,82.4782747136476,25
"Pakistan",33.70351,73.059373,107.057245978794,43
"Panama",8.995816,-79.519572,0,83
"Papua New Guinea",-9.44314,147.17972,8.47983735464881,64
"Paraguay",-25.30066,-57.63591,18.6595728105713,64
"Peru",-12.04318,-77.02824,51.6312435768858,72
"Philippines",14.6042,120.9822,61.280920139831,63
"Poland",52.22977,21.01178,99.3512990769233,89
"Portugal",38.71686,-9.139867,60.3863818222388,97
"Qatar",25.274724,51.524472,76.8570100901668,26
"Republic of Korea",37.56826,126.97783,197.915846095308,82
"Republic of the Congo",-4.26583,15.28318,19.2856696818339,19
"Romania",44.432787,26.104302,60.1836231196369,84
"Russia",55.754996,37.621849,257.928873902244,20
"Rwanda",-1.947364,30.057897,10.7571749288093,24
"Saudi Arabia",24.690466,46.709566,265.329983228432,10
"Senegal",14.6937,-17.44406,17.4768779140713,78
"Serbia",44.817649,20.463309,28.3143088771728,76
"Seychelles",-4.61667,55.45,4.71789629714029,71
"Sierra Leone",8.484,-13.22994,6.29109100268978,66
"Singapore",1.28967,103.85007,100.973867901039,51
"Slovakia",48.14816,17.10674,32.3894172054745,89
"Slovenia",46.05108,14.50513,21.7668729313332,92
"Somalia",2.041636,45.343492,0,5
"South Africa",-25.74486,28.18783,60.3235989303857,78
"South Africa",-33.92584,18.42322,60.3235989303857,78
"South Africa",-29.12106,26.214,60.3235989303857,78
"South Sudan",4.85165,31.58247,8.50811992004581,4
"Spain",40.4165,-3.70256,126.663069824877,94
"Sri Lanka",6.90278,79.90833,43.2034077243198,56
"Sri Lanka",6.93194,79.84778,43.2034077243198,56
"Sudan",15.55177,32.53241,66.2042205353796,6
"Swaziland",-26.31667,31.13333,9.41692591777498,18
"Sweden",59.33258,18.0649,74.3410586352028,100
"Switzerland",46.94809,7.44744,68.0323563353848,96
"Syria",33.508586,36.308444,54.7722557505166,-1
"Taiwan",25.033,121.5654,102.371755607369,91
"Tajikistan",38.53575,68.77905,8.92748564826626,11
"Tanzania",-6.17221,35.73947,24.7227739529571,58
"Thailand",13.721964,100.525248,79.4095727316437,32
"Timor-Leste",-8.560095,125.566848,5.0440063441673,65
"Togo",6.13748,1.21227,9.4028780127241,48
"Trinidad and Tobago",10.66617,-61.51657,14.2396276023009,81
"Tunisia",36.81897,10.16579,29.3078416342209,78
"Turkey",39.91987,32.85427,133.506582186158,38
"Turkmenistan",37.95,58.38333,14.0712472794703,4
"UAE",24.464778,54.361781,156.84705926475,20
"Uganda",0.31628,32.58219,18.6215703892142,35
"Ukraine",50.445368,30.518634,60.3950757731468,61
"United Kingdom",51.50853,-0.12574,215.483881998696,95
"United States",38.89511,-77.03637,778.333429193427,89
"Uruguay",-34.83346,-56.16735,34.1425006192866,98
"Uzbekistan",41.26465,69.21627,94.4457516249408,3
"Venezuela",10.48801,-66.87919,21.5597254755916,30
"Viet Nam",21.0245,105.84117,71.2309871730852,20
"Yemen",15.353115,44.20782,59.1607978309962,14
"Zambia",-15.413374,28.277148,18.4299899991302,56
"Zimbabwe",-17.82935,31.05389,18.4532381982133,32
