Id,Country,OPANAL,EU,ATT,UNRCPD,protocal1,protocal2,protocal3,military,free
90,Nepal,0,0,0,1,0,0,0.6,-0.19679322,-0.155077987
91,Netherlands,0,1,1,0,1,1,1,-0.015273858,1.4054675
92,New Zealand,0,0,1,1,1,1,1,-0.158743478,1.372264405
93,Nicaragua,1,0,1,0,1,1,1,-0.2030835,-0.321093464
94,Niger,0,0,1,0,1,1,0,-0.200839063,-0.254687273
95,Nigeria,0,0,1,0,1,1,0,-0.172728145,-0.221484178
96,Norway,0,1,1,0,1,1,1,-0.076893545,1.438670596
97,Oman,0,0,0,0,1,1,0,-0.07022868,-1.051561565
98,Pakistan,0,0,0,1,0.6,0.6,0,0.021927571,-0.453905846
99,Panama,1,0,1,0,1,1,1,-0.204799104,0.874217973
100,Papua New Guinea,0,0,1,1,0,0,0,-0.203376626,0.243359159
101,Peru,1,0,1,0,1,1,1,-0.152064504,0.508983922
102,Philippines,0,0,1,1,1,1,1,-0.130510698,0.210156063
103,Poland,0,1,1,0,1,1,1,-0.009537171,1.073436545
104,Portugal,0,1,1,0,1,1,1,-0.132663694,1.339061309
105,Qatar,0,0,0,0,1,1,0,-0.087946753,-1.018358469
106,Republic of Korea,0,0,1,1,1,1,0.6,0.57007584,0.841014877
107,Romania,0,1,1,0,1,1,1,-0.133147298,0.907421068
108,Russia,0,0,0,0,1,1,0.6,1.11124489,-1.217577042
109,Rwanda,0,0,1,0,1,1,0,-0.202509992,-1.08476466
110,Saudi Arabia,0,0,1,0,1,1,0,1.187854613,-1.549607997
111,Senegal,0,0,1,0,1,1,0,-0.198756861,0.708202495
112,Serbia,0,0,1,0,1,1,1,-0.188939862,0.641796304
113,Seychelles,0,0,1,0,1,1,0,-0.204358785,0.475780827
114,Sierra Leone,0,0,1,0,1,1,0.6,-0.204016175,0.30976535
115,Singapore,0,0,1,1,0,0,1,-0.003107198,-0.188281083
116,Slovakia,0,1,1,0,1,1,1,-0.184046301,1.073436545
117,Slovenia,0,1,1,0,1,1,1,-0.19542645,1.173045832
118,Somalia,0,0,1,0,0,0,0,-0.204799104,-1.715623474
119,South Africa,0,0,1,0,1,1,0,-0.132813613,0.708202495
120,South Sudan,0,0,1,0,1,1,1,-0.203367121,-1.74882657
121,Spain,0,1,1,0,1,1,1,0.11257428,1.239452023
122,Sri Lanka,0,0,1,1,0,0,0,-0.167875295,-0.022265605
123,Sudan,0,0,0,0,1,1,0,-0.118094564,-1.682420379
124,Sweden,0,1,1,0,1,1,1,-0.095471969,1.438670596
125,Switzerland,0,0,1,0,1,1,1,-0.113240005,1.305858214
126,Syria,0,0,0,0,1,0,0,-0.145453065,-1.914842047
127,Taiwan,0,0,1,0,1,1,1,0.002515925,1.139842736
128,Tajikistan,0,0,1,1,1,1,0,-0.203222477,-1.516404901
129,Tanzania,0,0,1,0,1,1,1,-0.19270803,0.044140586
130,Thailand,0,0,1,1,0,0,0,-0.080056099,-0.819139897
131,Trinidad and Tobago,0,0,1,0,1,1,0,-0.200787964,0.807811782
132,Tunisia,0,0,1,0,1,1,0,-0.187807352,0.708202495
133,Turkey,0,1,1,0,0,0,0.6,0.147795645,-0.619921324
134,Turkmenistan,0,0,1,1,1,1,0,-0.200882265,-1.74882657
135,UAE,0,0,0,0,1,1,0,0.281858199,-1.217577042
136,Uganda,0,0,1,0,1,1,1,-0.197939436,-0.71953061
137,Ukraine,0,0,1,0,1,1,1,-0.132642922,0.143749872
138,United Kingdom,0,1,1,0,1,1,1,0.713745109,1.272655118
139,United States,0,1,0,0,0.6,0.6,1,11.77920229,1.073436545
140,Uruguay,1,0,1,0,1,1,1,-0.181739006,1.372264405
141,Uzbekistan,0,0,1,1,1,1,0,-0.028343547,-1.782029665
142,Venezuela,1,0,0,0,1,1,0,-0.195603993,-0.885546087
143,Viet Nam,0,0,1,1,1,1,1,-0.104428067,-1.217577042
144,Western Sahara,0,0,1,0,1,1,1,-0.3,-1.6
145,Yemen,0,0,0,0,1,1,0,-0.135562058,-1.416795615
146,Zambia,0,0,1,0,1,1,0,-0.198079855,-0.022265605
