Id,Country,OPANAL,EU,ATT,UNRCPD,protocal1,protocal2,protocal3,military,free,latitude,longitude
72,Lebanon,0,0,1,0,1,1,0,-0.156509729,-0.420702751,33.9,35.48
73,Lesotho,0,0,1,0,1,1,0,-0.203758672,0.243359159,-29.32,27.48
74,Libya,0,0,1,0,1,1,0,-0.079776781,-1.44999871,32.88,13.19
75,Lithuania,0,1,1,0,1,1,1,-0.188733959,1.139842736,54.69,25.28
76,Luxembourg,0,1,1,0,1,1,1,-0.197723639,1.372264405,49.61,6.13
77,Macedonia,0,0,1,0,1,1,1,-0.20258695,0.01093749,41.6086,21.7453
78,Malawi,0,0,1,0,1,1,0,-0.203861109,0.210156063,-13.97,33.79
79,Malaysia,0,0,1,1,0,0,0,-0.135664286,-0.420702751,3.14,101.69
80,Mali,0,0,1,0,1,1,0,-0.195724908,-0.387499655,12.65,-8
81,Malta,0,1,1,0,1,1,0.6,-0.203528388,1.305858214,35.9,14.51
82,Mauritania,0,0,1,0,1,1,0,-0.201955057,-0.885546087,18.09,-15.98
83,Mauritius,0,0,1,0,1,1,0,-0.204327835,1.073436545,-20.16,57.5
84,Mexico,1,0,1,0,1,0,1,-0.090430634,0.276562254,19.43,-99.14
85,Montenegro,0,1,1,0,1,1,0,-0.203498735,0.409374636,42.44,19.26
86,Morocco,0,0,1,0,1,1,0,-0.136324427,-0.520312037,34.01,-6.83
87,Mozambique,0,0,1,0,1,1,0,-0.202260671,-0.121874892,-25.97,32.59
88,Myanmar,0,0,1,1,0,0,0,-0.136265079,-0.819139897,19.75,96.13
89,Namibia,0,0,1,0,1,1,0,-0.195741272,0.6749994,-22.56,17.08
90,Nepal,0,0,0,1,0,0,0.6,-0.19679322,-0.155077987,27.7,85.32
91,Netherlands,0,1,1,0,1,1,1,-0.015273858,1.4054675,52.08,4.3
92,New Zealand,0,0,1,1,1,1,1,-0.158743478,1.372264405,-41.29,174.78
93,Nicaragua,1,0,1,0,1,1,1,-0.2030835,-0.321093464,12.13,-86.25
94,Niger,0,0,1,0,1,1,0,-0.200839063,-0.254687273,13.51,2.11
95,Nigeria,0,0,1,0,1,1,0,-0.172728145,-0.221484178,9.06,7.49
96,Norway,0,1,1,0,1,1,1,-0.076893545,1.438670596,59.91,10.75
97,Oman,0,0,0,0,1,1,0,-0.07022868,-1.051561565,23.61,58.59
98,Pakistan,0,0,0,1,0.6,0.6,0,0.021927571,-0.453905846,33.7,73.06
99,Panama,1,0,1,0,1,1,1,-0.204799104,0.874217973,9,-79.52
100,Papua New Guinea,0,0,1,1,0,0,0,-0.203376626,0.243359159,-9.44,147.18
101,Peru,1,0,1,0,1,1,1,-0.152064504,0.508983922,-12.04,-77.03
102,Philippines,0,0,1,1,1,1,1,-0.130510698,0.210156063,14.6,120.98
103,Poland,0,1,1,0,1,1,1,-0.009537171,1.073436545,52.23,21.01
104,Portugal,0,1,1,0,1,1,1,-0.132663694,1.339061309,38.72,-9.14
105,Qatar,0,0,0,0,1,1,0,-0.087946753,-1.018358469,25.27,51.52
106,Republic of Korea,0,0,1,1,1,1,0.6,0.57007584,0.841014877,37.57,126.98
107,Romania,0,1,1,0,1,1,1,-0.133147298,0.907421068,44.43,26.1
108,Russia,0,0,0,0,1,1,0.6,1.11124489,-1.217577042,61.524,105.3188
109,Rwanda,0,0,1,0,1,1,0,-0.202509992,-1.08476466,-1.95,30.06
110,Saudi Arabia,0,0,1,0,1,1,0,1.187854613,-1.549607997,24.69,46.71
111,Senegal,0,0,1,0,1,1,0,-0.198756861,0.708202495,14.69,-17.44
112,Serbia,0,0,1,0,1,1,1,-0.188939862,0.641796304,44.82,20.46
113,Seychelles,0,0,1,0,1,1,0,-0.204358785,0.475780827,-4.62,55.45
114,Sierra Leone,0,0,1,0,1,1,0.6,-0.204016175,0.30976535,8.48,-13.23
115,Singapore,0,0,1,1,0,0,1,-0.003107198,-0.188281083,1.29,103.85
116,Slovakia,0,1,1,0,1,1,1,-0.184046301,1.073436545,48.15,17.11
117,Slovenia,0,1,1,0,1,1,1,-0.19542645,1.173045832,46.05,14.51
118,Somalia,0,0,1,0,0,0,0,-0.204799104,-1.715623474,2.04,45.34
119,South Africa,0,0,1,0,1,1,0,-0.132813613,0.708202495,-25.74,28.19
120,South Sudan,0,0,1,0,1,1,1,-0.203367121,-1.74882657,4.85,31.58
121,Spain,0,1,1,0,1,1,1,0.11257428,1.239452023,40.42,-3.7
122,Sri Lanka,0,0,1,1,0,0,0,-0.167875295,-0.022265605,6.9,79.91
123,Sudan,0,0,0,0,1,1,0,-0.118094564,-1.682420379,15.55,32.53
124,Sweden,0,1,1,0,1,1,1,-0.095471969,1.438670596,59.33,18.06
125,Switzerland,0,0,1,0,1,1,1,-0.113240005,1.305858214,46.95,7.45
126,Syria,0,0,0,0,1,0,0,-0.145453065,-1.914842047,33.51,36.31
127,Taiwan,0,0,1,0,1,1,1,0.002515925,1.139842736,34.8020744,38.9968147
128,Tajikistan,0,0,1,1,1,1,0,-0.203222477,-1.516404901,38.54,68.78
129,Tanzania,0,0,1,0,1,1,1,-0.19270803,0.044140586,-6.17,35.74
130,Thailand,0,0,1,1,0,0,0,-0.080056099,-0.819139897,13.72,100.53
131,Trinidad and Tobago,0,0,1,0,1,1,0,-0.200787964,0.807811782,10.67,-61.52
132,Tunisia,0,0,1,0,1,1,0,-0.187807352,0.708202495,36.82,10.17
133,Turkey,0,1,1,0,0,0,0.6,0.147795645,-0.619921324,39.92,32.85
134,Turkmenistan,0,0,1,1,1,1,0,-0.200882265,-1.74882657,37.95,58.38
135,UAE,0,0,0,0,1,1,0,0.281858199,-1.217577042,24.46,54.36
136,Uganda,0,0,1,0,1,1,1,-0.197939436,-0.71953061,0.32,32.58
137,Ukraine,0,0,1,0,1,1,1,-0.132642922,0.143749872,50.45,30.52
138,United Kingdom,0,1,1,0,1,1,1,0.713745109,1.272655118,51.51,-0.13
139,United States,0,1,0,0,0.6,0.6,1,11.77920229,1.073436545,38.9,-77.04
140,Uruguay,1,0,1,0,1,1,1,-0.181739006,1.372264405,-34.83,-56.17
141,Uzbekistan,0,0,1,1,1,1,0,-0.028343547,-1.782029665,41.26,69.22
142,Venezuela,1,0,0,0,1,1,0,-0.195603993,-0.885546087,10.49,-66.88
143,Viet Nam,0,0,1,1,1,1,1,-0.104428067,-1.217577042,21.02,105.84
144,Western Sahara,0,0,1,0,1,1,1,-0.3,-1.6,24.2155,-12.8858
145,Yemen,0,0,0,0,1,1,0,-0.135562058,-1.416795615,15.35,44.21
146,Zambia,0,0,1,0,1,1,0,-0.198079855,-0.022265605,-15.41,28.28
