"","Country Name","Country code","Capital City","City code","2016","LocationX","LocationY","LocationZ"
"1","Afghanistan",4,"Kabul",20002,-0.294661862830861,0.292921651512593,0.770006560716017,0.566821667307652
"2","Albania",8,"Tiranë (Tirana)",20005,-0.295515629815487,0.70646794007544,0.254607247241674,0.660362172824566
"3","Algeria",12,"El Djazaïr  (Algiers)",20006,-0.277860659785423,0.800098719154365,0.0425191135322346,0.598359561294024
"4","American Samoa",16,"Pago Pago",20047,-0.296854289593507,-0.956378815228988,-0.156570188511998,-0.246627934043398
"5","Andorra",20,"Andorra la Vella",20048,-0.296589159043833,0.736925707871328,0.0195685223565043,0.675690442444708
"6","Angola",24,"Luanda",20049,-0.284893262587339,0.961887058512697,0.226216522253806,-0.15362087008341
"7","Antigua and Barbuda",28,"St. John's",20052,-0.296757545984862,0.450946671491759,-0.842626175188257,0.294326737416281
"8","Argentina",32,"Buenos Aires",20058,-0.230777980009881,0.431280954945813,-0.701047275988251,-0.567916767432061
"9","Armenia",51,"Yerevan",20140,-0.295675060948661,0.54478583128557,0.535632849173282,0.645217675608009
"10","Aruba",533,"Oranjestad",21954,-0.296616620114911,0.333449088223266,-0.917490360682139,0.216848204093164
"11","Australia",36,"Canberra",206175,-0.152704169242843,-0.700647423523766,0.418862761862619,-0.577621999783878
"12","Austria",40,"Wien (Vienna)",20107,-0.249968641893076,0.639429549002898,0.187839389939448,0.745550947587841
"13","Azerbaijan",31,"Baku",20053,-0.292418443317423,0.490768737974582,0.582641685739893,0.647823055984435
"14","Bahamas",44,"Nassau",20108,-0.295520979620259,0.198489595775385,-0.883864518384741,0.423539128663969
"15","Bahrain",48,"Al-Manamah (Manama)",20109,-0.293088016950785,0.569645365362529,0.693083181721711,0.441746376256218
"16","Bangladesh",50,"Dhaka",20119,-0.270589663668187,-0.00651085810254761,0.915566469004166,0.402113975835224
"17","Barbados",52,"Bridgetown",20141,-0.296392277388586,0.492620289400584,-0.840210946910387,0.226651307436855
"18","Belarus",112,"Minsk",20348,-0.291240597000864,0.522306625388098,0.272668547130292,0.80798988389803
"19","Belgium",56,"Bruxelles-Brussel",20144,-0.240909695910947,0.62957820269345,0.0478898808242119,0.775459764274026
"20","Belize",84,"Belmopan",20310,-0.296716778816386,0.020555855937553,-0.954798696635936,0.296541574975571
"21","Benin",204,"Porto-Novo",20891,-0.295910233029495,0.992553201899671,0.0451338962996706,0.11314182605704
"22","Benin",204,"Cotonou",20888,-0.295910233029495,0.992950002354004,0.0419351613185155,0.110868097622233
"23","Bhutan",64,"Thimphu",20151,-0.296667547076776,0.00554535512691929,0.88726663076902,0.461223562884972
"24","Bolivia (Plurinational State of)",68,"La Paz",20153,-0.292886456211432,0.356851564088626,-0.889939461525453,-0.284015344703923
"25","Bolivia (Plurinational State of)",68,"Sucre",20158,-0.292886456211432,0.39558032582848,-0.858582134769463,-0.326117959750985
"26","Bosnia and Herzegovina",70,"Sarajevo",20164,-0.294916379823231,0.684476046526871,0.227117052046315,0.692755646964163
"27","Botswana",72,"Gaborone",20167,-0.295066860336465,0.817494256773942,0.397105353735964,-0.417145631855177
"28","Brazil",76,"Brasília",20187,-0.0823781412236784,0.644790673334321,-0.714348524317536,-0.271939650265331
"29","British Virgin Islands",92,"Road Town",20313,-0.296813643625623,0.406717470621795,-0.857188563294076,0.315925095630036
"30","Brunei Darussalam",96,"Bandar Seri Begawan",20314,-0.295573205165104,-0.420229518222338,0.903322159517834,0.0861175251540454
"31","Bulgaria",100,"Sofia",20327,-0.290585981693399,0.674884127518397,0.290988307581702,0.678127730795953
"32","Burkina Faso",854,"Ouagadougou",23192,-0.295634506840634,0.976454092216784,-0.0262232131434608,0.214125544682388
"33","Burundi",108,"Bujumbura",20340,-0.2965794000144,0.870000652315908,0.489508230350246,-0.0589962489423251
"34","Cabo Verde",132,"Praia",20408,-0.29673389993381,0.88607807243268,-0.38543733652052,0.257495066302158
"35","Cambodia",116,"Phnum Pénh (Phnom Penh)",20357,-0.294546195581467,-0.252179293203153,0.946694806688162,0.200435892667011
"36","Cameroon",120,"Yaoundé",20365,-0.29304374702129,0.977636163543578,0.199198556491815,0.0674349080474758
"37","Canada",124,"Ottawa-Gatineau",20387,-0.11456123879177,0.173403934814735,-0.680191388432445,0.71222942265334
"38","Central African Republic",140,"Bangui",20410,-0.296722879076401,0.945273814134672,0.31729276861788,0.0760441667328252
"39","Chad",148,"N'Djaména",20420,-0.295729320733704,0.944245938419862,0.25379435579328,0.209733241869446
"40","Chile",152,"Santiago",20439,-0.267132960596059,0.276459097012581,-0.787164217977992,-0.551310131971185
"41","China",156,"Beijing",20464,1.03807044077656,-0.341038059894492,0.687100122199483,0.641550047756881
"42","China, Hong Kong SAR",344,"Hong Kong",21137,-0.258669997902227,-0.379153653397487,0.844100459888751,0.379126523380964
"43","China, Macao SAR",446,"Macao",21791,-0.291531219808107,-0.369871753088143,0.848778173385393,0.377849836114905
"44","Colombia",170,"Bogotá",20837,-0.263199470893292,0.273378366891292,-0.958543310133546,0.0803678487585349
"45","Comoros",174,"Moroni",20847,-0.296810036425327,0.713172643385299,0.671004560447802,-0.202824211042658
"46","Congo",178,"Brazzaville",20848,-0.295855082121776,0.961962485643675,0.262859648457334,-0.0743840132496791
"47","Costa Rica",188,"San José",20861,-0.290119083354293,0.101583592102217,-0.979773688094102,0.172407348840155
"48","Côte d'Ivoire",384,"Abidjan",21602,-0.292713755458612,0.993193353914054,-0.0699175046131834,0.0931584901638979
