source,target,weights,sourceID,targetID,,
Russia,China,10,84,22,,1
Russia,China,5,84,22,,1
Russia,China,18,84,22,,1
France,China,28,34,22,,1
Russia,China,2.5,84,22,,1
China,Tajikistan,1.5,22,101,,1
France,Ukraine,3,34,108,,1
Russia,Iraq,72.5,84,45,,1
Germany,United Kingdom,3.5,36,109,,1
Israel,Kazakhstan,1.4,47,52,,1
Italy,Pakistan,66,48,75,,1
Slovakia,Azerbaijan,11.88,91,8,,1
Israel,Azerbaijan,3,47,8,,1
Israel,Azerbaijan,2.8,47,8,,1
United States,Italy,13.3,110,48,,1
United States,Jordan,1.5,110,51,,1
United States,UAE,50,110,106,,1
United States,Lebanon,10,110,57,,1
United States,Thailand,1,110,103,,1
United States,Egypt,9,110,29,,1
Belgium,Indonesia,0.48,12,43,,1
France,Georgia,2.5,34,35,,1
Russia,India,160,84,42,,1
Russia,Iraq,27,84,45,,1
United States,Pakistan,11,110,75,,1
Italy,Brazil,26.25,48,15,,1
Israel,Brazil,6,47,15,,1
Israel,Thailand,2,47,103,,1
Israel,Thailand,1,47,103,,1
United States,Thailand,2.8,110,103,,1
United States,Spain,10,110,94,,1
United States,UAE,19.2,110,106,,1
United States,Australia,8,110,6,,1
Russia,Belarus,0.28,84,11,,1
United States,Qatar,1,110,82,,1
Russia,China,36,84,22,,1
United States,Japan,7.25,110,50,,1
United States,Japan,5,110,50,,1
China,Sudan,2.2,22,96,,1
