Id,Country,Latitude,Longitude,military_expenditure,freedom_score
131,Seychelles,-4.62,55.45,4.717896297,71
132,Sierra Leone,8.48,-13.23,6.291091003,66
133,Singapore,1.29,103.85,100.9738679,51
134,Slovakia,48.15,17.11,32.38941721,89
135,Slovenia,46.05,14.51,21.76687293,92
136,Somalia,2.04,45.34,0,5
137,South Africa,-25.74,28.19,60.32359893,78
138,South Africa,-33.93,18.42,60.32359893,78
139,South Africa,-29.12,26.21,60.32359893,78
140,South Sudan,4.85,31.58,8.50811992,4
141,Spain,40.42,-3.70,126.6630698,94
142,Sri Lanka,6.90,79.91,43.20340772,56
143,Sri Lanka,6.93,79.85,43.20340772,56
144,Sudan,15.55,32.53,66.20422054,6
145,Swaziland,-26.32,31.13,9.416925918,18
146,Sweden,59.33,18.06,74.34105864,100
147,Switzerland,46.95,7.45,68.03235634,96
148,Syria,33.51,36.31,54.77225575,-1
149,Tajikistan,38.54,68.78,8.927485648,11
150,Tanzania,-6.17,35.74,24.72277395,58
151,Thailand,13.72,100.53,79.40957273,32
152,Timor-Leste,-8.56,125.57,5.044006344,65
153,Togo,6.14,1.21,9.402878013,48
154,Trinidad and Tobago,10.67,-61.52,14.2396276,81
155,Tunisia,36.82,10.17,29.30784163,78
156,Turkey,39.92,32.85,133.5065822,38
157,Turkmenistan,37.95,58.38,14.07124728,4
158,UAE,24.46,54.36,156.8470593,20
159,Uganda,0.32,32.58,18.62157039,35
160,Ukraine,50.45,30.52,60.39507577,61
161,United Kingdom,51.51,-0.13,215.483882,95
162,United States,38.90,-77.04,778.3334292,89
163,Uruguay,-34.83,-56.17,34.14250062,98
164,Uzbekistan,41.26,69.22,94.44575162,3
165,Venezuela,10.49,-66.88,21.55972548,30
166,Viet Nam,21.02,105.84,71.23098717,20
167,Yemen,15.35,44.21,59.16079783,14
168,Zambia,-15.41,28.28,18.42999,56
169,Zimbabwe,-17.83,31.05,18.4532382,32
