Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,0,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,5363768017,,,0
H4,2016,2016,2016,0,0,2,Export,275,State of Palestine,PSE,0,World,WLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,926498977,,,0
H4,2016,2016,2016,0,0,1,Import,275,State of Palestine,PSE,8,Albania,ALB,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,52144,,,0
H4,2016,2016,2016,0,0,2,Export,275,State of Palestine,PSE,12,Algeria,DZA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1625391,,,0
H4,2016,2016,2016,0,0,1,Import,275,State of Palestine,PSE,20,Andorra,AND,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,2455,,,0
H4,2016,2016,2016,0,0,1,Import,275,State of Palestine,PSE,28,Antigua and Barbuda,ATG,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,11899,,,0
H4,2016,2016,2016,0,0,1,Import,275,State of Palestine,PSE,31,Azerbaijan,AZE,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,16836,,,0
H4,2016,2016,2016,0,0,1,Import,275,State of Palestine,PSE,32,Argentina,ARG,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,4858439,,,0
H4,2016,2016,2016,0,0,1,Import,275,State of Palestine,PSE,36,Australia,AUS,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,5444204,,,0
H4,2016,2016,2016,0,0,2,Export,275,State of Palestine,PSE,36,Australia,AUS,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,60197,,,0
H4,2016,2016,2016,0,0,1,Import,275,State of Palestine,PSE,40,Austria,AUT,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,6584896,,,0
H4,2016,2016,2016,0,0,2,Export,275,State of Palestine,PSE,40,Austria,AUT,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,308516,,,0
H4,2016,2016,2016,0,0,1,Import,275,State of Palestine,PSE,48,Bahrain,BHR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1234416,,,0
H4,2016,2016,2016,0,0,2,Export,275,State of Palestine,PSE,48,Bahrain,BHR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,41537,,,0
H4,2016,2016,2016,0,0,1,Import,275,State of Palestine,PSE,50,Bangladesh,BGD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,145457,,,0
H4,2016,2016,2016,0,0,2,Export,275,State of Palestine,PSE,50,Bangladesh,BGD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,68800,,,0
H4,2016,2016,2016,0,0,1,Import,275,State of Palestine,PSE,51,Armenia,ARM,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,869,,,0
H4,2016,2016,2016,0,0,1,Import,275,State of Palestine,PSE,56,Belgium,BEL,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,25333512,,,0
H4,2016,2016,2016,0,0,2,Export,275,State of Palestine,PSE,56,Belgium,BEL,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,228196,,,0
H4,2016,2016,2016,0,0,1,Import,275,State of Palestine,PSE,68,Bolivia (Plurinational State of),BOL,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,81470,,,0
H4,2016,2016,2016,0,0,1,Import,275,State of Palestine,PSE,70,Bosnia Herzegovina,BIH,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,23591,,,0
H4,2016,2016,2016,0,0,1,Import,275,State of Palestine,PSE,76,Brazil,BRA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,26627774,,,0
